Optimizer,Dropout,BatchNorm,BatchSize,Test Accuracy,Train Accuracy,Val Accuracy,Time
Adam,0.2,True,8,66.2,95.795,70.0,11:29
Adam,0.2,True,32,50.2,50.852,50.455,00:54
Adam,0.2,True,128,58.0,97.841,64.091,08:29
Adam,0.2,False,8,50.0,50.682,47.273,01:50
Adam,0.2,False,32,52.3,52.443,54.545,01:40
Adam,0.2,False,128,50.0,50.114,49.545,00:34
Adam,0.5,True,8,54.0,64.943,54.545,06:41
Adam,0.5,True,32,51.7,54.205,53.182,00:56
Adam,0.5,True,128,53.8,55.341,52.5,00:41
Adam,0.5,False,8,50.0,50.114,49.545,01:51
Adam,0.5,False,32,50.0,50.17,49.318,00:50
Adam,0.5,False,128,50.2,51.364,45.682,01:27
Adam,0,True,8,65.2,74.261,62.727,03:49
Adam,0,True,32,66.7,98.636,66.136,03:11
Adam,0,True,128,66.6,97.386,67.727,02:20
Adam,0,False,8,50.8,50.909,48.636,09:11
Adam,0,False,32,57.3,57.443,55.455,10:30
Adam,0,False,128,71.3,90.0,68.182,04:32
SGD,0.2,True,8,56.5,64.261,56.136,06:11
SGD,0.2,True,32,54.1,60.511,53.182,09:23
SGD,0.2,True,128,49.8,50.284,52.045,04:28
SGD,0.2,False,8,50.0,49.773,50.909,01:11
SGD,0.2,False,32,50.0,50.284,48.864,00:40
SGD,0.2,False,128,50.0,50.966,46.136,00:32
SGD,0.5,True,8,50.0,48.977,54.091,01:14
SGD,0.5,True,32,50.0,50.511,47.727,02:37
SGD,0.5,True,128,50.0,50.057,49.773,00:38
SGD,0.5,False,8,50.0,49.83,50.909,01:46
SGD,0.5,False,32,50.0,48.864,54.545,00:40
SGD,0.5,False,128,50.0,49.943,50.227,00:32
SGD,0,True,8,60.7,99.943,60.909,15:25
SGD,0,True,32,58.3,93.295,60.227,06:18
SGD,0,True,128,55.6,83.295,58.636,04:03
SGD,0,False,8,50.0,49.261,52.955,01:10
SGD,0,False,32,50.0,51.42,44.318,00:40
SGD,0,False,128,50.0,50.398,48.409,00:32
RMSprop,0.2,True,8,60.4,93.864,60.682,21:04
RMSprop,0.2,True,32,50.0,49.773,51.364,00:51
RMSprop,0.2,True,128,50.0,50.511,47.955,00:38
RMSprop,0.2,False,8,50.0,51.364,44.545,05:41
RMSprop,0.2,False,32,50.0,49.602,51.591,00:47
RMSprop,0.2,False,128,50.0,50.114,49.545,00:33
RMSprop,0.5,True,8,50.0,50.114,49.545,01:40
RMSprop,0.5,True,32,50.0,48.807,54.773,00:51
RMSprop,0.5,True,128,50.0,49.886,50.455,00:38
RMSprop,0.5,False,8,50.0,50.17,49.318,01:37
RMSprop,0.5,False,32,50.0,50.852,46.591,00:47
RMSprop,0.5,False,128,50.0,49.943,50.227,00:33
RMSprop,0,True,8,50.0,50.057,49.773,01:40
RMSprop,0,True,32,50.0,50.682,47.273,00:50
RMSprop,0,True,128,50.0,49.943,50.227,00:38
RMSprop,0,False,8,50.0,50.795,46.818,01:37
RMSprop,0,False,32,50.0,48.75,55.0,00:46
RMSprop,0,False,128,50.0,50.057,49.773,00:33
