Optimizer,Dropout,BatchNorm,BatchSize,loss_fn_name,use_augmentation,TestAccuracy,TrainAccuracy,ValAccuracy,Time
Adam,0.2,True,8,binary_cross_entropy,True,72.5,91.737,68.182,56:53
Adam,0.2,True,8,mse_loss,True,50.0,49.646,53.182,22:23
Adam,0.2,True,32,binary_cross_entropy,True,70.0,98.495,74.545,29:32
Adam,0.2,True,32,mse_loss,True,74.5,97.293,71.364,29:19
Adam,0.2,True,128,binary_cross_entropy,True,66.8,99.303,70.0,22:39
Adam,0.2,True,128,mse_loss,True,71.9,96.838,74.545,13:42
Adam,0.2,False,8,binary_cross_entropy,True,56.4,54.035,49.091,54:23
Adam,0.2,False,8,mse_loss,True,50.0,49.949,50.455,32:46
Adam,0.2,False,32,binary_cross_entropy,True,57.3,56.096,55.909,27:33
Adam,0.2,False,32,mse_loss,True,60.6,59.788,55.909,27:18
Adam,0.2,False,128,binary_cross_entropy,True,67.6,97.955,69.545,20:21
Adam,0.2,False,128,mse_loss,True,52.7,50.96,59.091,20:05
Adam,0,True,8,binary_cross_entropy,True,78.5,96.616,79.091,56:15
Adam,0,True,8,mse_loss,True,50.0,49.697,52.727,22:21
Adam,0,True,32,binary_cross_entropy,True,73.9,97.864,78.636,30:14
Adam,0,True,32,mse_loss,True,76.7,97.899,79.091,30:07
Adam,0,True,128,binary_cross_entropy,True,73.9,99.672,77.727,23:38
Adam,0,True,128,mse_loss,True,74.0,99.096,76.818,22:31
Adam,0,False,8,binary_cross_entropy,True,52.6,51.924,53.182,54:37
Adam,0,False,8,mse_loss,True,50.0,50.354,46.818,21:45
Adam,0,False,32,binary_cross_entropy,True,53.6,52.722,50.909,27:13
Adam,0,False,32,mse_loss,True,63.3,64.066,57.273,27:11
Adam,0,False,128,binary_cross_entropy,True,77.0,99.99,82.727,20:12
Adam,0,False,128,mse_loss,True,78.0,99.985,79.545,19:59
RMSprop,0.2,True,8,binary_cross_entropy,True,73.9,89.081,73.636,50:25
RMSprop,0.2,True,8,mse_loss,True,50.0,50.152,48.636,49:43
RMSprop,0.2,True,32,binary_cross_entropy,True,67.3,82.172,70.909,27:49
RMSprop,0.2,True,32,mse_loss,True,50.0,49.848,51.364,27:51
RMSprop,0.2,True,128,binary_cross_entropy,True,50.0,49.848,51.364,22:11
RMSprop,0.2,True,128,mse_loss,True,50.0,50.0,50.0,22:29
RMSprop,0.2,False,8,binary_cross_entropy,True,50.0,49.949,50.455,48:34
RMSprop,0.2,False,8,mse_loss,True,50.0,49.596,53.636,48:18
RMSprop,0.2,False,32,binary_cross_entropy,True,50.0,49.545,54.091,25:51
RMSprop,0.2,False,32,mse_loss,True,50.0,50.303,47.273,25:51
RMSprop,0.2,False,128,binary_cross_entropy,True,50.0,50.101,49.091,20:16
RMSprop,0.2,False,128,mse_loss,True,50.0,50.303,47.273,19:46
RMSprop,0,True,8,binary_cross_entropy,True,78.2,97.864,79.545,50:11
RMSprop,0,True,8,mse_loss,True,50.0,50.0,50.0,49:41
RMSprop,0,True,32,binary_cross_entropy,True,75.1,98.934,79.545,27:44
RMSprop,0,True,32,mse_loss,True,50.0,50.0,50.0,27:39
RMSprop,0,True,128,binary_cross_entropy,True,72.8,99.187,80.0,22:13
RMSprop,0,True,128,mse_loss,True,50.0,50.859,42.273,22:09
RMSprop,0,False,8,binary_cross_entropy,True,50.0,49.545,54.091,48:34
RMSprop,0,False,8,mse_loss,True,50.0,50.253,47.727,48:20
RMSprop,0,False,32,binary_cross_entropy,True,50.0,49.697,52.727,25:40
RMSprop,0,False,32,mse_loss,True,50.0,50.253,47.727,25:40
RMSprop,0,False,128,binary_cross_entropy,True,50.0,50.404,46.364,19:23
RMSprop,0,False,128,mse_loss,True,50.0,50.152,48.636,19:37
